STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
       3032;19310728;    5;  10.4;   1;-999;-999;eor
       3032;19310729;    5;   1.8;   1;-999;-999;eor
       3032;19310730;    5;   9.8;   1;-999;-999;eor
       3032;19310731;    5;   0.0;   0;-999;-999;eor
       3032;19310801;    5;   0.0;   0;-999;-999;eor
       3032;19310802;    5;   0.0;   0;-999;-999;eor
       3032;19310803;    5;   0.0;   0;-999;-999;eor
       3032;19310804;    5;   0.0;   0;-999;-999;eor
       3032;19310805;    5;   0.0;   0;-999;-999;eor
       3032;19310806;    5;   0.0;   0;-999;-999;eor
       3032;19310807;    5;   0.0;   0;-999;-999;eor
       3032;19310808;    5;   4.9;   1;-999;-999;eor
       3032;19310809;    5;   0.4;   1;-999;-999;eor
       3032;19310810;    5;   1.2;   1;-999;-999;eor
       3032;19310811;    5;   5.4;   1;-999;-999;eor
       3032;19310812;    5;   5.3;   1;-999;-999;eor
       3032;19310813;    5;   1.1;   1;-999;-999;eor
       3032;19310814;    5;   0.0;   0;-999;-999;eor
       3032;19310815;    5;   9.0;   1;-999;-999;eor
       3032;19310816;    5;   9.1;   1;-999;-999;eor
       3032;19310817;    5;   6.2;   1;-999;-999;eor
       3032;19310818;    5;   9.5;   1;-999;-999;eor
       3032;19310819;    5;  14.6;   1;-999;-999;eor
       3032;19310820;    5;   0.0;   0;-999;-999;eor
       3032;19310821;    5;   3.1;   1;-999;-999;eor
       3032;19310822;    5;   0.0;   0;-999;-999;eor
       3032;19310823;    5;   4.0;   1;-999;-999;eor
       3032;19310824;    5;   0.8;   1;-999;-999;eor
       3032;19310825;    5;   0.4;   1;-999;-999;eor
       3032;19310826;    5;   0.0;   0;-999;-999;eor
       3032;19310827;    5;   0.0;   0;-999;-999;eor
       3032;19310828;    5;   0.0;   0;-999;-999;eor
       3032;19310829;    5;   0.0;   0;-999;-999;eor
       3032;19310830;    5;   0.0;   0;-999;-999;eor
       3032;19310831;    5;   0.0;   0;-999;-999;eor
       3032;19310901;    5;   0.0;   0;-999;-999;eor
       3032;19310902;    5;  13.3;   1;-999;-999;eor
       3032;19310903;    5;   0.0;   0;-999;-999;eor
       3032;19310904;    5;   6.5;   1;-999;-999;eor
       3032;19310905;    5;   8.2;   1;-999;-999;eor
       3032;19310906;    5;   9.2;   1;-999;-999;eor
       3032;19310907;    5;   1.3;   1;-999;-999;eor
       3032;19310908;    5;   5.6;   1;-999;-999;eor
       3032;19310909;    5;   2.7;   1;-999;-999;eor
       3032;19310910;    5;   0.5;   1;-999;-999;eor
       3032;19310911;    5;   2.0;   1;-999;-999;eor
       3032;19310912;    5;   2.4;   1;-999;-999;eor
       3032;19310913;    5;   2.0;   1;-999;-999;eor
       3032;19310914;    5;   0.0;   0;-999;-999;eor
       3032;19310915;    5;   0.1;   1;-999;-999;eor
       3032;19310916;    5;   0.0;   0;-999;-999;eor
       3032;19310917;    5;   0.0;   0;-999;-999;eor
       3032;19310918;    5;   0.0;   0;-999;-999;eor
       3032;19310919;    5;   0.0;   0;-999;-999;eor
       3032;19310920;    5;   2.6;   1;-999;-999;eor
       3032;19310921;    5;   0.0;   0;-999;-999;eor
